YEAR,AUS,BRA,CAN,CHN,RUS,USA
1986,21.581608,24.891207,-7.710351,6.359657,-6.1026864,7.4475794
1987,21.59427,25.302525,-6.4537835,6.6079154,-7.4683037,7.6064095
1988,22.105854,25.050127,-6.61003,6.745823,-5.578286,7.2044106
1989,21.37485,24.709227,-7.7064857,6.7092314,-5.360856,6.8280497
1990,21.8711,25.069971,-7.6779985,7.0314193,-5.2938213,7.3916855
1991,22.043804,25.041132,-7.095147,6.638143,-5.5116844,7.500322
1992,21.489603,24.83469,-7.6978874,6.44487,-6.218837,6.967962
1993,21.701008,24.955845,-6.9864197,6.4841967,-5.8136544,7.0994253
1994,21.643223,25.072952,-6.88878,7.0682206,-6.151561,7.285927
1995,21.480915,25.300232,-6.8503227,6.907244,-4.4028144,7.419545
1996,21.81751,25.046738,-7.337457,6.4961023,-5.9107685,6.6995897
1997,21.537134,25.368227,-6.883428,7.102318,-5.5671625,7.05227
1998,22.111727,25.68623,-5.186193,7.611979,-6.6450295,8.045993
1999,21.574703,25.147045,-5.975519,7.421827,-6.0441713,7.1595945
2000,21.24332,25.142067,-6.726545,6.9182267,-5.739991,7.431657
2001,21.301031,25.421627,-5.930728,7.2781425,-5.734503,7.5720034
2002,21.97096,25.65718,-6.8521643,7.4795046,-5.433641,7.750373
2003,21.958231,25.480742,-6.4025927,7.0566125,-5.109769,7.688549
2004,21.792004,25.389252,-7.5297174,7.519412,-5.8089,7.6693993
2005,22.352182,25.70073,-5.8637586,7.0101233,-4.698152,7.8577776
2006,21.625444,25.494154,-5.5432096,7.4001036,-5.990132,7.8864813
2007,21.745382,25.547108,-6.819294,7.726293,-4.2559524,7.8060584
2008,21.503962,25.218435,-7.200896,7.179437,-4.581952,6.935361
2009,21.92194,25.496075,-6.9970117,7.249917,-5.787853,7.1020646
